"_id","bpu","rating","userId","username"
"ObjectId(""58eef02d873481aa4791b2c8"")","eug1","4","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""58eef48d873481aa4791b2c9"")","eug0","5","ObjectId(""58295ba579babea371ef32e2"")","peterwashington"
"ObjectId(""58ef062d873481aa4791b2ca"")","eug1","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""58efd3ba873481aa4791b2cb"")","eug16","4","ObjectId(""58295ba579babea371ef32e2"")","peterwashington"
"ObjectId(""58efd95c873481aa4791b2cc"")","eug16","5","ObjectId(""563bb418ace41fb06564abbd"")","ingmar"
"ObjectId(""58efd9b2873481aa4791b2cd"")","eug0","4","ObjectId(""563bb418ace41fb06564abbd"")","ingmar"
"ObjectId(""58efda31873481aa4791b2ce"")","eug3","1","ObjectId(""563bb418ace41fb06564abbd"")","ingmar"
"ObjectId(""58efda92873481aa4791b2cf"")","eug15","4","ObjectId(""563bb418ace41fb06564abbd"")","ingmar"
"ObjectId(""58efdcf6873481aa4791b2d0"")","eug0","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""58efddad873481aa4791b2d1"")","eug0","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""58efe077873481aa4791b2d5"")","eug0","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""58efe124873481aa4791b2d6"")","eug3","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""58efe16d873481aa4791b2d7"")","eug1","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""58efe1b4873481aa4791b2d8"")","eug3","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""58efe26d873481aa4791b2d9"")","eug3","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""58efe364873481aa4791b2da"")","eug3","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
"ObjectId(""58efe3ba873481aa4791b2db"")","eug3","5","ObjectId(""563abd7932804ebd6f70152e"")","casey"
